,VehicleID,Ruta,Distancia (Km),# Destinos entregados,Range(Km)
0,1,0-0,0.0,0,1720
1,2,0-4-0,2511393.4479144,1,1510
2,3,0-5-6-2-10-7-14-9-3-11-13-1-0,20639330.80277784,11,1300
3,4,0-8-0,1802133.4325493416,1,1500
4,5,0-0,0.0,0,870
5,6,0-12-0,43104.28005642337,1,1200
